pl_name,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_ratdor,pl_ratror,st_spectype,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,pl_class
Kepler-804 b,1,2,14.37457351,0.1137,1.94,0.173,4.42,0.0139,M-R relationship,3.33,0,83.43,779,89.91,23.352,0.01689,,5817,1.05,1.01,0,0.05,4.4,5.25,1.15872,649.65,13.864,12.246,13.7361,Super Earth
Kepler-804 c,1,2,9.65185017,0.0872,1.14,0.102,1.55,0.00489,M-R relationship,5.75,0,141.84,890,89.59,17.2,0.01043,,5817,1.05,1.01,0,0.05,4.4,5.25,1.03417,649.65,13.864,12.246,13.7361,Super Earth
Kepler-806 b,1,1,8.09219642,0.0764,1.14,0.102,1.55,0.00489,M-R relationship,5.75,0,413.6,1089,75.28,6.4,0.00885,,5770,1.16,0.99,0,0.407,4.3,7.76,0.31224,361.896,11.813,10.128,11.5909,Super Earth
Kepler-808 b,1,1,0.63133235,0.0116,1.46,0.13,2.73,0.00859,M-R relationship,4.82,0,726.72,1322,76.59,4.447,0.01906,,4653,0.71,0.76,0.05,-0.684,4.62,1.95,4.17487,321,14.519,11.879,14.3539,Super Earth
Kepler-81 b,1,3,5.955,0.0522,2.42,0.216,17.2,0.054,Mass,6.67,0,39.95,635,89,19.882,0.03492,M0 V,4385,0.59,0.64,-0.18,-0.889,4.7,3.63,4.19265,348.291,15.258,12.392,15.004,Super Earth
Kepler-81 d,1,3,20.837846,0.128,1.21,0.108,1.92,0.00606,M-R relationship,5.96,0,7.51,418,89.18,26.9,0.01796,M0 V,4500,0.59,0.65,-0.18,-0.889,4.7,3.63,11.51428,348.291,15.258,12.392,15.004,Super Earth
Kepler-810 b,1,1,4.59725385,0.055,1.93,0.172,4.38,0.0138,M-R relationship,3.35,0,350.6,1105,89.85,12.27,0.01665,,5803,1.04,1.03,0.1,-0.032,4.42,4.17,1.65508,1458.59,15.73,14.207,15.7606,Super Earth
Kepler-82 d,1,5,2.382961,0.034,1.77,0.158,3.78,0.0119,M-R relationship,3.75,0,484.35,1253,86.85,8.34,0.01748,,5428,0.95,0.96,0.211,-0.185,4.47,4.68,2.3396,904.326,15.131,13.518,15.1377,Super Earth
Kepler-821 b,1,1,1.92279873,0.029,1.31,0.117,2.27,0.00714,M-R relationship,5.55,0,496.82,1215,89.74,7.723,0.01474,,5191,0.8,0.84,-0.03,-0.364,4.56,4.79,2.35671,614.571,15.153,12.869,14.8177,Super Earth
Kepler-822 b,1,1,3.22296927,0.0412,1.77,0.158,3.78,0.0119,M-R relationship,3.75,0,535.19,1239,87.67,8.7562,0.0145,,5928,1.08,1.06,0.04,-0.005,4.4,3.55,0.96758,860.391,14.75,13.053,14.5966,Super Earth
Kepler-823 b,1,1,4.16809082,0.0507,1.57,0.14,3.09,0.00972,M-R relationship,4.39,0,803.35,1277,85.09,11.831,0.01512,,5643,0.96,0.98,0.06,0.335,4.47,4.47,1.80327,1389.27,15.089,13.187,14.7625,Super Earth
Kepler-824 b,1,1,4.51436633,0.055,1.87,0.167,4.16,0.0131,M-R relationship,3.5,0,454.6,1231,89.42,11.56,0.01432,,6035,1.22,1.15,0.14,0.122,4.32,3.31,1.43366,1201.4,15.051,13.447,14.8825,Super Earth
